State,Date,Avg Value,Avg Rank,Avg Mean,Avg Anomaly,Min Value,Min Rank,Min Mean,Min Anomaly,Max Value,Max Rank,Max Mean (1901-2000),Max Anomaly (1901-2000)
Louisiana,201811,54.8,27,57.4,-2.6,45.2,53,45.9,-0.7,64.4,5,68.9,-4.5
Maine,201811,28.8,10,32.3,-3.5,22.2,23,24.4,-2.2,35.4,8,40.1,-4.7
Maryland,201811,43.4,36,44.8,-1.4,35.5,71,35,0.5,51.3,17,54.7,-3.4
Massachusetts,201811,37.8,37,39.2,-1.4,30.5,62,30.3,0.2,45.1,18,48.2,-3.1
Michigan,201811,30.8,13,34.6,-3.8,25.5,38,27.1,-1.6,36.1,4,42,-5.9
Minnesota,201811,22.8,17,27.9,-5.1,15.9,33,19.6,-3.7,29.8,16,36.3,-6.5
Mississippi,201811,50.5,14,53.9,-3.4,40.6,52,41.5,-0.9,60.4,4,66.2,-5.8
Missouri,201811,37.7,4,43.6,-5.9,28.5,14,32.8,-4.3,46.8,3,54.3,-7.5
Montana,201811,30.2,70,29.5,0.7,20.9,71,19.7,1.2,39.4,62,39.4,0
Nebraska,201811,33.5,28,35.9,-2.4,22,31,23.6,-1.6,44.9,26,48.2,-3.3
Nevada,201811,39.4,62,38.9,0.5,26.2,52,26.5,-0.3,52.6,72,51.2,1.4
New Hampshire,201811,31.2,15,34.1,-2.9,24.3,40,25.2,-0.9,38.2,6,43,-4.8
New Jersey,201811,42.6,49,43.1,-0.5,34.4,74,33.7,0.7,50.7,30,52.6,-1.9
New Mexico,201811,41.2,39,42.1,-0.9,26.5,37,27.4,-0.9,55.9,45,56.8,-0.9
New York,201811,33.3,19,36.3,-3,26.9,31,28.3,-1.4,39.7,9,44.4,-4.7
North Carolina,201811,48.4,45,49.3,-0.9,38.4,78,37.4,1,58.4,26,61.2,-2.8
North Dakota,201811,22.9,32,26.4,-3.5,15.4,43,17,-1.6,30.4,23,35.9,-5.5
Ohio,201811,37.4,14,40.8,-3.4,31.2,55,31.6,-0.4,43.6,5,49.9,-6.3
Oklahoma,201811,44.6,12,48.4,-3.8,32.1,11,36.3,-4.2,57.2,25,60.6,-3.4
Oregon,201811,39.4,90,37.7,1.7,29.8,64,29.2,0.6,49,104,46.1,2.9
Pennsylvania,201811,36.6,20,39.3,-2.7,30.2,50,30.5,-0.3,43.1,8,48.1,-5
Rhode Island,201811,41,47,41.5,-0.5,33.7,77,32.8,0.9,48.4,29,50.2,-1.8
South Carolina,201811,51.8,46,53.1,-1.3,42,82,40.8,1.2,61.7,12,65.4,-3.7
South Dakota,201811,29.3,32,31.7,-2.4,19.6,42,20.6,-1,39,27,42.8,-3.8
Tennessee,201811,44.5,18,47.4,-2.9,35,47,35.8,-0.8,53.9,7,59,-5.1
Texas,201811,52,24,54.6,-2.6,40,29,42,-2,63.9,21,67.2,-3.3
Utah,201811,35,44,36,-1,23.3,37,24.5,-1.2,46.7,51,47.5,-0.8
Vermont,201811,30.2,17,33.2,-3,23.5,36,24.7,-1.2,36.8,6,41.7,-4.9
Virginia,201811,43.8,37,45.5,-1.7,34.8,71,34.2,0.6,52.8,12,56.8,-4
Washington,201811,38.7,92,36.6,2.1,32,90,30,2,45.3,93,43.2,2.1
West Virginia,201811,40.1,33,42.1,-2,31.6,63,31.3,0.3,48.5,12,52.8,-4.3
Wisconsin,201811,27.3,17,31.6,-4.3,21.2,34,23.5,-2.3,33.4,10,39.7,-6.3
Wyoming,201811,28.5,49,29,-0.5,18,58,18,0,39.1,47,40,-0.9
Alabama,201810,67.5,111,63.9,3.6,56.8,113,50.9,5.9,78.3,89,76.9,1.4
Arizona,201810,59.9,34,61,-1.1,48.5,97,46.3,2.2,71.4,13,75.7,-4.3
Arkansas,201810,62.6,78,61.8,0.8,52.8,109,49,3.8,72.4,28,74.6,-2.2
California,201810,61,93,59.5,1.5,48.4,101,46.2,2.2,73.6,79,72.9,0.7
Colorado,201810,45,31,46.5,-1.5,33,86,32,1,57.1,14,60.9,-3.8
Connecticut,201810,51.9,79,51,0.9,43,108,39.9,3.1,60.8,35,62.1,-1.3
Delaware,201810,59.8,111,56.4,3.4,50.6,117,45.5,5.1,69.1,95,67.2,1.9
Florida,201810,76.6,121,72.3,4.3,66.9,119,62.1,4.8,86.2,123,82.5,3.7
Georgia,201810,68.5,118,64.2,4.3,57.2,111,52,5.2,79.7,118,76.4,3.3
Idaho,201810,44.1,59,44.1,0,32.8,90,31.8,1,55.4,47,56.4,-1
Illinois,201810,54.2,52,54.6,-0.4,43.8,78,42.9,0.9,64.7,42,66.4,-1.7
Indiana,201810,54.8,74,53.9,0.9,44.3,96,41.9,2.4,65.4,56,65.9,-0.5
Iowa,201810,48.2,19,51.4,-3.2,38,39,39.5,-1.5,58.3,11,63.3,-5
Kansas,201810,53.6,18,56.5,-2.9,42.2,44,43,-0.8,65,14,70,-5
Kentucky,201810,58.9,92,57,1.9,48,107,44.2,3.8,69.8,71,69.8,0
Louisiana,201810,70.8,114,67.4,3.4,61.3,117,55.2,6.1,80.2,70,79.7,0.5
Maine,201810,42,18,44.3,-2.3,34.4,69,34.3,0.1,49.5,4,54.3,-4.8
Maryland,201810,59,111,55.8,3.2,49.9,117,44.8,5.1,68.1,84,66.9,1.2
Massachusetts,201810,50.2,69,50,0.2,41.6,102,39,2.6,58.8,25,61,-2.2
Michigan,201810,45.9,35,47.5,-1.6,37.6,65,37.3,0.3,54.2,22,57.6,-3.4
Minnesota,201810,40.7,12,45,-4.3,32.8,36,34.2,-1.4,48.6,7,55.8,-7.2
Mississippi,201810,67.2,103,64.4,2.8,56.2,113,51.2,5,78.2,69,77.7,0.5
Missouri,201810,56.5,53,57,-0.5,45.7,81,44.6,1.1,67.2,28,69.5,-2.3
Montana,201810,41.6,34,43.2,-1.6,30,40,30.9,-0.9,53.3,36,55.5,-2.2
Nebraska,201810,47.2,17,50.8,-3.6,35.1,35,36.6,-1.5,59.2,11,65,-5.8
Nevada,201810,50.3,52,50.7,-0.4,37.2,83,36.2,1,63.4,36,65.3,-1.9
New Hampshire,201810,45,43,45.8,-0.8,37,104,34.4,2.6,53,15,57.2,-4.2
New Jersey,201810,56.4,101,54,2.4,47.7,113,42.9,4.8,65,65,65.1,-0.1
New Mexico,201810,53.9,54,54.1,-0.2,42.1,119,38.8,3.3,65.8,13,69.4,-3.6
New York,201810,47.7,53,48,-0.3,39.8,93,37.5,2.3,55.6,24,58.5,-2.9
North Carolina,201810,62.5,112,59.6,2.9,52.2,112,47.3,4.9,72.8,84,71.8,1
North Dakota,201810,39,12,44,-5,28.3,20,31.6,-3.3,49.8,12,56.5,-6.7
Ohio,201810,54.4,88,52.8,1.6,44.5,108,41.2,3.3,64.2,55,64.4,-0.2
Oklahoma,201810,60.2,33,61.6,-1.4,50.2,86,48.7,1.5,70.2,13,74.5,-4.3
Oregon,201810,48.7,79,48.1,0.6,36.8,88,36,0.8,60.7,77,60.1,0.6
Pennsylvania,201810,52.3,89,50.6,1.7,43.6,115,39.2,4.4,61,47,62,-1
Rhode Island,201810,52.7,81,51.9,0.8,44,98,41.7,2.3,61.4,45,62.1,-0.7
South Carolina,201810,66.8,116,63.2,3.6,56.1,111,51,5.1,77.6,108,75.4,2.2
South Dakota,201810,43.2,13,47.8,-4.6,31.8,25,34.2,-2.4,54.6,10,61.4,-6.8
Tennessee,201810,61,100,58.8,2.2,50.2,110,45.6,4.6,71.9,70,71.9,0
Texas,201810,65.4,40,66.1,-0.7,56.2,110,53.3,2.9,74.5,11,78.9,-4.4
Utah,201810,47.5,36,48.9,-1.4,36.9,87,35.6,1.3,58.2,20,62.2,-4
Vermont,201810,44.5,46,45.2,-0.7,37,103,34.3,2.7,51.9,15,56.1,-4.2
Virginia,201810,59,111,56.2,2.8,49.3,119,44,5.3,68.8,74,68.3,0.5
Washington,201810,47.5,73,47.2,0.3,37.4,68,37.1,0.3,57.5,73,57.2,0.3
West Virginia,201810,55.3,94,53.3,2,45.5,115,40.8,4.7,65.1,50,65.8,-0.7
Wisconsin,201810,43.6,17,46.8,-3.2,35.1,45,36.1,-1,52.1,10,57.5,-5.4
Wyoming,201810,41,33,42.5,-1.5,28.6,45,29.2,-0.6,53.4,33,55.8,-2.4
Alabama,201809,79.5,121,74.7,4.8,69.8,124,62.9,6.9,89.2,107,86.3,2.9
Arizona,201809,76.1,124,72,4.1,61.2,121,57.6,3.6,91,119,86.5,4.5
Arkansas,201809,75,96,72.8,2.2,66.2,117,60.9,5.3,83.7,46,84.8,-1.1
California,201809,71.2,111,68.5,2.7,56.3,106,53.8,2.5,86.1,105,83.1,3
Colorado,201809,61.8,122,57.3,4.5,46.4,117,42.5,3.9,77.2,120,72.2,5
Connecticut,201809,65.7,118,61.5,4.2,57.5,124,50.6,6.9,73.8,87,72.4,1.4
