State,Date,Avg Value,Avg Rank,Avg Mean,Avg Anomaly,Min Value,Min Rank,Min Mean,Min Anomaly,Max Value,Max Rank,Max Mean (1901-2000),Max Anomaly (1901-2000)
Virginia,201508,73.2,59,73.1,0.1,62.4,54,62.4,0,84,65,83.8,0.2
Washington,201508,66.6,112,63.5,3.1,53.2,115,49.8,3.4,80.1,104,77.2,2.9
West Virginia,201508,69.9,48,70.4,-0.5,58.5,47,59.1,-0.6,81.4,50,81.6,-0.2
Wisconsin,201508,66.1,47,66.4,-0.3,55.9,84,54.7,1.2,76.3,30,78.1,-1.8
Wyoming,201508,64.3,81,63.4,0.9,48.6,75,48.1,0.5,80,87,78.7,1.3
Alabama,201507,81.6,108,79.9,1.7,71.2,121,68.8,2.4,91.9,87,91.1,0.8
Arizona,201507,78.6,25,79.7,-1.1,65.4,41,65.6,-0.2,91.8,18,93.8,-2
Arkansas,201507,81.9,100,80.3,1.6,72.3,121,68.9,3.4,91.6,68,91.7,-0.1
California,201507,75,64,74.7,0.3,61.4,99,59.5,1.9,88.5,28,89.9,-1.4
Colorado,201507,66.6,44,67.1,-0.5,52.9,77,52.2,0.7,80.2,17,81.9,-1.7
Connecticut,201507,72.2,98,70.7,1.5,61.6,96,59.8,1.8,82.7,91,81.5,1.2
Delaware,201507,76.9,92,75.5,1.4,67.8,106,65.4,2.4,85.9,72,85.6,0.3
Florida,201507,82.8,119,81,1.8,73.4,118,71.3,2.1,92.2,110,90.7,1.5
Georgia,201507,81.5,107,79.7,1.8,70.8,116,68.7,2.1,92.2,94,90.7,1.5
Idaho,201507,65.1,47,65.1,0,50.6,99,49.2,1.4,79.6,30,81.1,-1.5
Illinois,201507,74.2,35,75.6,-1.4,64.8,82,64.1,0.7,83.6,14,87.1,-3.5
Indiana,201507,72.9,29,74.5,-1.6,63.1,78,62.8,0.3,82.7,14,86.1,-3.4
Iowa,201507,72,29,73.9,-1.9,62,52,62.2,-0.2,82,18,85.5,-3.5
Kansas,201507,78.9,68,78.9,0,67,90,65.9,1.1,90.8,53,91.8,-1
Kentucky,201507,76.5,73,76.3,0.2,67.1,110,64.8,2.3,86,33,87.7,-1.7
Louisiana,201507,84.2,122,81.9,2.3,74.6,123,71.8,2.8,93.9,111,91.9,2
Maine,201507,64.8,41,65.3,-0.5,54,58,54,0,75.5,37,76.6,-1.1
Maryland,201507,75.9,84,75.1,0.8,66.5,99,64.6,1.9,85.2,52,85.6,-0.4
Massachusetts,201507,71,94,69.7,1.3,60,87,58.7,1.3,82,94,80.7,1.3
Michigan,201507,67.9,56,68.1,-0.2,56,65,55.9,0.1,79.7,52,80.3,-0.6
Minnesota,201507,69.5,76,68.8,0.7,58.6,94,56.9,1.7,80.5,64,80.7,-0.2
Mississippi,201507,82.8,116,80.8,2,72.6,122,69.8,2.8,92.9,92,91.9,1
Missouri,201507,77.4,60,77.7,-0.3,68.2,103,66.1,2.1,86.6,28,89.2,-2.6
Montana,201507,66.2,67,65.7,0.5,51.7,81,50.8,0.9,80.8,52,80.6,0.2
Nebraska,201507,73.4,40,74.5,-1.1,60.6,54,60.9,-0.3,86.1,35,88.1,-2
Nevada,201507,70.9,29,72.1,-1.2,56.6,67,55.9,0.7,85.2,10,88.3,-3.1
New Hampshire,201507,66.9,67,66.5,0.4,55.4,78,54.5,0.9,78.5,53,78.5,0
New Jersey,201507,75.2,98,73.5,1.7,65.5,108,62.8,2.7,84.9,77,84.1,0.8
New Mexico,201507,73.1,72,72.7,0.4,59.6,101,58.1,1.5,86.6,43,87.2,-0.6
New York,201507,68.1,54,68.2,-0.1,57.2,67,57,0.2,79,56,79.4,-0.4
North Carolina,201507,78.5,100,76.9,1.6,68.5,110,66.4,2.1,88.4,84,87.4,1
North Dakota,201507,69.9,75,69,0.9,57.5,97,55.7,1.8,82.3,65,82.3,0
Ohio,201507,71.6,26,73,-1.4,61.5,62,61.3,0.2,81.8,13,84.6,-2.8
Oklahoma,201507,82.1,73,81.7,0.4,71.3,104,69.5,1.8,92.9,48,93.9,-1
Oregon,201507,67.5,108,64.8,2.7,52.6,115,49.2,3.4,82.4,89,80.3,2.1
Pennsylvania,201507,70.4,64,70.4,0,59.5,74,58.8,0.7,81.3,54,81.9,-0.6
Rhode Island,201507,72.3,107,70.3,2,62.7,102,60.7,2,81.9,99,79.9,2
South Carolina,201507,82.2,114,79.9,2.3,71,111,69.1,1.9,93.4,111,90.6,2.8
South Dakota,201507,72.1,54,72.6,-0.5,59,64,58.8,0.2,85.1,49,86.4,-1.3
Tennessee,201507,78.3,93,77.1,1.2,68.9,119,65.7,3.2,87.6,43,88.6,-1
Texas,201507,83.2,89,82.3,0.9,71.9,114,70.3,1.6,94.5,64,94.4,0.1
Utah,201507,70.1,25,71.5,-1.4,56.2,40,56.8,-0.6,83.9,17,86.2,-2.3
Vermont,201507,66.2,68,65.9,0.3,54.9,78,54,0.9,77.6,52,77.8,-0.2
Virginia,201507,75.3,78,74.7,0.6,65.8,103,63.8,2,84.7,44,85.6,-0.9
Washington,201507,68.6,121,64,4.6,55,123,50.3,4.7,82.2,118,77.8,4.4
West Virginia,201507,72.1,70,71.9,0.2,62.2,99,60.3,1.9,82,34,83.4,-1.4
Wisconsin,201507,68.4,52,68.9,-0.5,57.1,62,57.1,0,79.7,44,80.8,-1.1
Wyoming,201507,63.9,30,65.3,-1.4,49.4,42,50,-0.6,78.4,23,80.6,-2.2
Alabama,201506,78.8,94,77.5,1.3,68.2,113,65.8,2.4,89.5,70,89.3,0.2
Arizona,201506,78.4,113,74.4,4,62.7,121,57.9,4.8,94.1,103,90.9,3.2
Arkansas,201506,78.1,100,76.5,1.6,68.5,114,65.4,3.1,87.8,74,87.7,0.1
California,201506,74.4,124,68.2,6.2,59.6,124,53.7,5.9,89.1,123,82.8,6.3
Colorado,201506,64.9,109,61.2,3.7,50.6,123,46.3,4.3,79.2,95,76.2,3
Connecticut,201506,65.3,51,65.4,-0.1,55.2,84,54.1,1.1,75.3,34,76.7,-1.4
Delaware,201506,73.6,115,70.7,2.9,64.7,121,60.1,4.6,82.5,83,81.3,1.2
Florida,201506,81.7,116,79.5,2.2,71.7,116,69.2,2.5,91.7,109,89.9,1.8
Georgia,201506,79.3,103,77.4,1.9,68.2,113,65.7,2.5,90.4,88,89.1,1.3
Idaho,201506,64.7,124,56.7,8,49.5,124,42.9,6.6,80,124,70.4,9.6
Illinois,201506,71.7,60,71.4,0.3,62.5,99,60,2.5,81,34,82.8,-1.8
Indiana,201506,71,66,70.5,0.5,61.6,103,58.9,2.7,80.3,31,82.1,-1.8
Iowa,201506,69.4,64,69.1,0.3,59.4,88,57.7,1.7,79.3,37,80.6,-1.3
Kansas,201506,75.8,97,73.4,2.4,63.8,109,60.8,3,87.8,89,85.9,1.9
Kentucky,201506,74.2,93,72.6,1.6,63.9,115,60.8,3.1,84.6,75,84.3,0.3
Louisiana,201506,80.5,89,79.8,0.7,71.5,112,69.4,2.1,89.6,53,90.1,-0.5
Maine,201506,57.5,16,59.8,-2.3,47.4,35,48.2,-0.8,67.5,7,71.4,-3.9
Maryland,201506,73,111,70.6,2.4,64,122,59.8,4.2,82.1,70,81.5,0.6
Massachusetts,201506,63.6,34,64.4,-0.8,53.3,59,53,0.3,73.9,28,75.7,-1.8
Michigan,201506,62.5,41,63.3,-0.8,51.2,53,51,0.2,73.8,30,75.5,-1.7
Minnesota,201506,64.7,76,63.7,1,53.3,84,52,1.3,76.1,74,75.5,0.6
Mississippi,201506,79.2,92,78.3,0.9,69.1,111,66.8,2.3,89.3,57,89.8,-0.5
Missouri,201506,74.3,84,73,1.3,65.2,115,61.8,3.4,83.4,55,84.1,-0.7
Montana,201506,63.8,120,58.3,5.5,49.5,122,45.4,4.1,78.2,118,71.1,7.1
Nebraska,201506,69.8,88,68.3,1.5,58.2,106,55.3,2.9,81.5,62,81.3,0.2
Nevada,201506,71,123,63.9,7.1,55.2,124,48.4,6.8,86.7,123,79.4,7.3
New Hampshire,201506,60.2,27,61.5,-1.3,49.6,62,49.2,0.4,70.8,17,73.8,-3
New Jersey,201506,70.3,97,68.5,1.8,60.8,116,57.4,3.4,79.8,51,79.7,0.1
New Mexico,201506,71.6,100,69.2,2.4,56.4,118,52.9,3.5,86.9,81,85.5,1.4
New York,201506,63,46,63.4,-0.4,52.9,75,52,0.9,73,22,74.9,-1.9
North Carolina,201506,77.3,121,73.6,3.7,66.7,122,62.3,4.4,87.9,113,84.8,3.1
North Dakota,201506,65.1,94,62.9,2.2,53.2,103,50.7,2.5,77,86,75.2,1.8
Ohio,201506,69.8,78,68.9,0.9,60.4,114,57.2,3.2,79.2,38,80.6,-1.4
Oklahoma,201506,78.4,93,76.9,1.5,67.6,107,65.3,2.3,89.2,76,88.5,0.7
Oregon,201506,65.6,124,57.2,8.4,50.5,124,43.7,6.8,80.7,124,70.6,10.1
Pennsylvania,201506,67.1,81,66,1.1,57.3,118,54.2,3.1,77,37,77.8,-0.8
Rhode Island,201506,64.5,51,64.7,-0.2,55.2,76,54.5,0.7,73.8,38,74.9,-1.1
South Carolina,201506,80.5,119,77,3.5,69.1,118,65.6,3.5,91.8,112,88.4,3.4
South Dakota,201506,67.6,88,65.7,1.9,55.8,107,53,2.8,79.4,76,78.4,1
Tennessee,201506,75.9,107,73.8,2.1,65.4,118,62,3.4,86.4,78,85.6,0.8
Texas,201506,79.3,50,79.6,-0.3,68.6,89,67.5,1.1,89.9,32,91.6,-1.7
Utah,201506,70,123,64,6,55.1,123,49.2,5.9,85,120,78.8,6.2
Vermont,201506,59.9,29,61,-1.1,49.5,72,48.9,0.6,70.2,16,73.2,-3
Virginia,201506,73.7,117,70.9,2.8,63.7,122,59.4,4.3,83.7,95,82.3,1.4
Washington,201506,65.5,124,57.7,7.8,51.8,124,45.6,6.2,79.2,124,69.9,9.3
West Virginia,201506,70.5,109,68.1,2.4,60.2,121,56.1,4.1,80.7,69,80,0.7
Wisconsin,201506,63.8,53,64.1,-0.3,52.6,59,52.2,0.4,75,41,76,-1
Wyoming,201506,63,121,57.6,5.4,48.5,123,43.5,5,77.4,113,71.7,5.7
Alabama,201505,71.8,84,70.7,1.1,60,89,58.3,1.7,83.7,73,83,0.7
Arizona,201505,62.9,21,65,-2.1,48.6,43,49.2,-0.6,77.2,16,80.8,-3.6
Arkansas,201505,69.3,73,68.7,0.6,59.4,88,57.4,2,79.2,46,79.9,-0.7
California,201505,60.8,52,60.7,0.1,48.4,79,47.4,1,73.2,40,74.1,-0.9
Colorado,201505,49.8,25,51.8,-2,38.4,71,37.9,0.5,61.1,8,65.8,-4.7
Connecticut,201505,62.7,124,56.8,5.9,49.8,121,45,4.8,75.5,124,68.6,6.9
Delaware,201505,67.9,121,62.1,5.8,56.8,121,51,5.8,79.1,121,73.3,5.8
Florida,201505,77.5,115,75.1,2.4,66.4,114,63.5,2.9,88.6,110,86.6,2
Georgia,201505,72.4,91,71,1.4,59.9,91,58.5,1.4,84.9,89,83.4,1.5
Idaho,201505,51.8,101,49.3,2.5,39.8,115,36.5,3.3,63.8,86,62,1.8
Illinois,201505,64.9,98,62.1,2.8,54.5,108,50.6,3.9,75.3,80,73.6,1.7
Indiana,201505,65,104,61.3,3.7,53.6,108,49.5,4.1,76.3,95,73.1,3.2
Iowa,201505,60,70,59.8,0.2,49.8,89,47.9,1.9,70,43,71.7,-1.7
Kansas,201505,61.7,32,63.4,-1.7,51.1,70,50.9,0.2,72.3,18,75.8,-3.5
Kentucky,201505,67.3,101,64.4,2.9,55.2,102,52.1,3.1,79.4,101,76.7,2.7
Louisiana,201505,74.8,95,73.4,1.4,65.5,106,62.8,2.7,84.1,61,84.1,0
Maine,201505,55.7,122,50.5,5.2,42.8,119,38.7,4.1,68.7,121,62.4,6.3
Maryland,201505,67.6,119,62.3,5.3,56.3,120,50.8,5.5,78.9,118,73.7,5.2
Massachusetts,201505,61.8,124,55.7,6.1,48.3,119,44.1,4.2,75.3,124,67.4,7.9
Michigan,201505,57.2,101,53.6,3.6,45.1,108,41.3,3.8,69.4,97,65.9,3.5
Minnesota,201505,54.2,60,54.2,0,42.6,74,41.8,0.8,65.9,54,66.6,-0.7
Mississippi,201505,72.3,82,71.3,1,61.3,92,59.5,1.8,83.3,70,83,0.3
Missouri,201505,64.8,71,64.2,0.6,54.8,90,52.7,2.1,74.9,50,75.7,-0.8
Montana,201505,49.6,56,50.2,-0.6,37.4,54,37.7,-0.3,61.7,55,62.8,-1.1
Nebraska,201505,56.2,29,58.4,-2.2,45.4,58,45.4,0,67,13,71.4,-4.4
Nevada,201505,55.4,66,55,0.4,43.1,97,40.8,2.3,67.8,44,69.2,-1.4
New Hampshire,201505,58.9,124,52.6,6.3,44.3,120,40,4.3,73.5,124,65.2,8.3
New Jersey,201505,66.1,124,59.8,6.3,53.8,121,48.3,5.5,78.3,123,71.3,7
New Mexico,201505,58.3,14,60.2,-1.9,43.8,46,44.1,-0.3,72.7,6,76.3,-3.6
New York,201505,61,123,54.5,6.5,47.8,119,42.8,5,74.2,123,66.1,8.1
North Carolina,201505,68.6,104,66.4,2.2,56.9,106,54.3,2.6,80.4,97,78.6,1.8
North Dakota,201505,52.4,47,53.7,-1.3,39.8,47,40.6,-0.8,64.9,42,66.7,-1.8
Ohio,201505,65,113,60,5,53,115,48,5,77,110,72.1,4.9
Oklahoma,201505,66.1,23,68,-1.9,56.4,64,56.4,0,75.8,9,79.7,-3.9
Oregon,201505,53.5,107,50.5,3,41.6,117,38,3.6,65.5,90,63,2.5
Pennsylvania,201505,63.4,117,57.6,5.8,50.6,116,45.4,5.2,76.2,121,69.9,6.3
Rhode Island,201505,61.2,122,56.1,5.1,49.4,117,45.5,3.9,73.1,122,66.6,6.5
South Carolina,201505,71.6,85,70.3,1.3,59.3,85,57.9,1.4,83.8,85,82.7,1.1
South Dakota,201505,53.8,32,56,-2.2,42.3,50,43,-0.7,65.4,21,69.1,-3.7
Tennessee,201505,68,90,66.1,1.9,56.2,95,53.9,2.3,79.8,84,78.3,1.5
Texas,201505,71.6,35,72.5,-0.9,61.3,86,60.2,1.1,81.9,16,84.7,-2.8
Utah,201505,53.8,49,54.7,-0.9,42.2,80,41.1,1.1,65.4,25,68.2,-2.8
Vermont,201505,58.6,123,52.2,6.4,44.5,118,39.9,4.6,72.7,123,64.5,8.2
Virginia,201505,67.1,115,63.2,3.9,54.9,115,51,3.9,79.2,112,75.4,3.8
Washington,201505,56,119,51.8,4.2,44.5,121,40.1,4.4,67.6,109,63.6,4
West Virginia,201505,64.7,114,60.5,4.2,51.1,109,47.6,3.5,78.3,114,73.4,4.9
Wisconsin,201505,56.6,86,54.6,2,44.8,92,42.3,2.5,68.3,77,67,1.3
Wyoming,201505,47,40,48.4,-1.4,36.3,75,35.6,0.7,57.7,22,61.3,-3.6
Alabama,201504,66,108,62.8,3.2,55.5,123,50.1,5.4,76.6,80,75.6,1
Arizona,201504,58.4,86,56.7,1.7,43.1,83,41.8,1.3,73.7,81,71.7,2
Arkansas,201504,62.5,91,60.5,2,52.1,103,48.9,3.2,72.8,74,72.1,0.7
California,201504,56.7,101,54,2.7,43,86,41.6,1.4,70.3,103,66.5,3.8
Colorado,201504,44.8,99,42.5,2.3,31.1,101,28.9,2.2,58.6,93,56.1,2.5
Connecticut,201504,47,76,46,1,35.8,74,34.9,0.9,58.2,76,57.1,1.1
Delaware,201504,54.2,90,52,2.2,43.1,96,41,2.1,65.3,89,63.1,2.2
Florida,201504,75.1,124,69.3,5.8,65.4,124,57.4,8,84.9,121,81.2,3.7
Georgia,201504,66.8,116,63,3.8,56.4,124,50.2,6.2,77.3,85,75.8,1.5
Idaho,201504,42.3,85,41,1.3,29.4,68,29.2,0.2,55.3,93,52.7,2.6
Illinois,201504,54.3,100,51.5,2.8,42.3,89,40.3,2,66.3,101,62.7,3.6
Indiana,201504,52.9,93,50.6,2.3,41.1,87,39.3,1.8,64.6,93,61.9,2.7
Iowa,201504,51.1,97,48.1,3,38.7,92,36.4,2.3,63.5,97,59.8,3.7
Kansas,201504,56.4,99,53.5,2.9,43.1,96,40.4,2.7,69.6,98,66.6,3
Kentucky,201504,57.4,86,55.2,2.2,45.2,95,42.9,2.3,69.6,82,67.4,2.2
Louisiana,201504,69.8,111,66.3,3.5,60.9,122,55.4,5.5,78.8,96,77.2,1.6
Maine,201504,37.8,48,38.3,-0.5,27.2,46,28.2,-1,48.5,56,48.4,0.1
Maryland,201504,54,88,52.1,1.9,42.5,87,40.9,1.6,65.6,88,63.4,2.2
Massachusetts,201504,45.5,70,44.7,0.8,34.7,71,34,0.7,56.4,72,55.4,1
Michigan,201504,43.2,76,41.9,1.3,31.8,73,30.9,0.9,54.7,79,52.8,1.9
Minnesota,201504,44.6,97,41.3,3.3,31.8,88,30,1.8,57.5,104,52.7,4.8
Mississippi,201504,67,111,63.6,3.4,57,123,51.5,5.5,77,85,75.6,1.4
Missouri,201504,57.7,99,54.5,3.2,46.2,104,42.9,3.3,69.2,98,66.2,3
Montana,201504,42.8,90,40.7,2.1,29.2,68,28.7,0.5,56.5,95,52.7,3.8
Nebraska,201504,50.5,98,47.7,2.8,37.1,96,34.5,2.6,64,98,60.9,3.1
Nevada,201504,47.8,82,46.6,1.2,33.1,62,33.1,0,62.5,87,60.1,2.4
New Hampshire,201504,40.6,57,40.7,-0.1,29.2,55,29.5,-0.3,52,59,51.9,0.1
New Jersey,201504,51.5,90,49.3,2.2,40.1,88,38.3,1.8,62.9,96,60.4,2.5
New Mexico,201504,52.5,83,51.4,1.1,36.7,82,35.6,1.1,68.3,76,67.2,1.1
New York,201504,43.3,65,42.8,0.5,32.1,55,32.2,-0.1,54.4,73,53.4,1
North Carolina,201504,60,100,57.8,2.2,48.7,115,45.4,3.3,71.3,77,70.3,1
North Dakota,201504,44.3,96,41.2,3.1,30.4,81,29.3,1.1,58.2,100,53.1,5.1
Ohio,201504,51.5,92,49.2,2.3,40,94,37.8,2.2,63,88,60.6,2.4
Oklahoma,201504,61.4,93,59.4,2,49.8,101,47,2.8,73.1,79,71.8,1.3
Oregon,201504,44.7,74,43.9,0.8,31.8,46,32.5,-0.7,57.6,91,55.3,2.3
Pennsylvania,201504,48.4,80,46.8,1.6,36.4,82,35.4,1,60.5,90,58.3,2.2
Rhode Island,201504,47.2,84,45.7,1.5,36.8,75,35.8,1,57.5,84,55.6,1.9
South Carolina,201504,64.8,107,61.9,2.9,53.8,119,49.2,4.6,75.8,83,74.6,1.2
South Dakota,201504,47.7,96,44.7,3,33.3,84,31.9,1.4,62.1,101,57.5,4.6
Tennessee,201504,60.1,97,57.6,2.5,48.3,103,45.2,3.1,71.8,80,70,1.8
Texas,201504,66.6,97,64.8,1.8,55,109,51.8,3.2,78.1,71,77.8,0.3
Utah,201504,47.1,87,45.5,1.6,33.5,76,32.7,0.8,60.6,91,58.3,2.3
Vermont,201504,39.5,51,39.9,-0.4,28.4,50,29,-0.6,50.6,58,50.7,-0.1
Virginia,201504,55.9,92,54,1.9,43.8,101,41.7,2.1,68.1,86,66.2,1.9
Washington,201504,45.7,76,45.1,0.6,34.2,52,34.2,0,57.2,84,55.9,1.3
West Virginia,201504,53.1,91,50.9,2.2,40.5,100,38.4,2.1,65.7,83,63.4,2.3
Wisconsin,201504,45,90,42.6,2.4,32.6,82,31.3,1.3,57.3,94,53.9,3.4
Wyoming,201504,41.3,93,38.8,2.5,28.1,90,26.5,1.6,54.6,96,51.1,3.5
Alabama,201503,57.8,89,55.1,2.7,46.8,103,42.9,3.9,68.8,77,67.2,1.6
Arizona,201503,56.3,120,49.5,6.8,42,123,35.8,6.2,70.6,117,63.1,7.5
Arkansas,201503,49.7,40,51.3,-1.6,40.3,74,39.9,0.4,59.2,27,62.6,-3.4
California,201503,56.9,123,48.8,8.1,43.7,123,37.6,6.1,70.2,123,60,10.2
Colorado,201503,40.6,119,33.7,6.9,26.3,118,20.5,5.8,54.9,118,46.8,8.1
Connecticut,201503,31,12,35.4,-4.4,21.1,11,25.7,-4.6,40.9,17,45.2,-4.3
Delaware,201503,40,28,42.7,-2.7,29.6,20,32.7,-3.1,50.3,44,52.8,-2.5
Florida,201503,69.5,120,64,5.5,58.9,120,52.5,6.4,80.2,118,75.5,4.7
Georgia,201503,58.8,99,55.4,3.4,47.5,108,43.2,4.3,70.1,90,67.5,2.6
Idaho,201503,40.8,122,32.6,8.2,28.1,120,22.4,5.7,53.5,123,42.8,10.7
Illinois,201503,38.3,46,39.8,-1.5,27.7,35,30,-2.3,48.9,56,49.7,-0.8
Indiana,201503,37.2,40,39.5,-2.3,27,33,29.5,-2.5,47.4,42,49.6,-2.2
Iowa,201503,37.3,85,34.6,2.7,24.6,64,24.5,0.1,50,100,44.8,5.2
Kansas,201503,46.8,103,42.4,4.4,31.8,84,29.6,2.2,61.7,104,55.1,6.6
Kentucky,201503,44.5,52,45.4,-0.9,33.1,48,34.2,-1.1,55.9,54,56.5,-0.6
Louisiana,201503,60.5,78,59,1.5,50.5,91,48,2.5,70.5,67,70,0.5
Maine,201503,21.6,14,25.9,-4.3,10.2,13,15.7,-5.5,33,20,36.2,-3.2
Maryland,201503,39.4,29,42.5,-3.1,28.5,14,32.2,-3.7,50.2,42,52.7,-2.5
Massachusetts,201503,29.3,11,34.2,-4.9,19.1,7,24.6,-5.5,39.6,18,43.8,-4.2
Michigan,201503,28.6,57,29,-0.4,17.9,49,19.3,-1.4,39.3,73,38.7,0.6
Minnesota,201503,30.7,104,25.3,5.4,19.5,93,15.1,4.4,42,109,35.6,6.4
Mississippi,201503,57.7,85,55.6,2.1,47.4,99,43.8,3.6,67.9,66,67.4,0.5
Missouri,201503,44.5,70,43.6,0.9,32.8,67,32.3,0.5,56.2,72,54.8,1.4
Montana,201503,39.5,122,29.4,10.1,26.4,120,18.6,7.8,52.6,123,40.2,12.4
Nebraska,201503,42.9,116,35.8,7.1,26.5,95,23.5,3,59.3,122,48.1,11.2
Nevada,201503,47.6,122,39.5,8.1,33.4,121,27.5,5.9,61.8,122,51.5,10.3
New Hampshire,201503,23.8,12,28.8,-5,12.2,10,18.4,-6.2,35.5,22,39.3,-3.8
New Jersey,201503,35.9,21,39.3,-3.4,25.9,18,29.4,-3.5,45.8,31,49.1,-3.3
New Mexico,201503,47.6,110,43.5,4.1,32.5,115,28.4,4.1,62.7,101,58.5,4.2
New York,201503,25.5,15,30.6,-5.1,15.2,13,21,-5.8,35.8,18,40.2,-4.4
North Carolina,201503,50.7,81,49.3,1.4,39,86,37.5,1.5,62.3,76,61.1,1.2
North Dakota,201503,33,113,24.8,8.2,21.1,103,14.7,6.4,44.9,115,34.9,10
Ohio,201503,35.9,38,38.5,-2.6,25.9,31,28.6,-2.7,45.8,43,48.4,-2.6
Oklahoma,201503,51.1,79,49.3,1.8,39.1,88,36.9,2.2,63,72,61.8,1.2
Oregon,201503,45.7,123,38.3,7.4,33.7,123,28.7,5,57.7,123,47.9,9.8
Pennsylvania,201503,31.6,18,35.8,-4.2,21.2,12,25.9,-4.7,42.1,35,45.8,-3.7
Rhode Island,201503,31.8,10,36.1,-4.3,22.4,7,27.2,-4.8,41.3,15,45,-3.7
South Carolina,201503,56.4,90,53.8,2.6,44.9,102,41.8,3.1,67.9,86,65.9,2
South Dakota,201503,39,117,30.8,8.2,23.9,101,19.6,4.3,54.1,122,42,12.1
Tennessee,201503,49,72,48.4,0.6,37.7,71,36.9,0.8,60.2,66,59.9,0.3
Texas,201503,56.2,53,56.3,-0.1,45,81,43.3,1.7,67.4,29,69.4,-2
Utah,201503,44.9,121,37.3,7.6,31.4,120,25.9,5.5,58.3,122,48.7,9.6
Vermont,201503,22.3,18,27.2,-4.9,11.2,14,16.8,-5.6,33.4,21,37.6,-4.2
Virginia,201503,44.2,53,44.7,-0.5,32.7,53,33.3,-0.6,55.6,52,56.2,-0.6
Washington,201503,44.8,123,38.6,6.2,34.6,124,29.5,5.1,55,120,47.6,7.4
West Virginia,201503,40,51,41.1,-1.1,28.6,40,30,-1.4,51.4,55,52.2,-0.8
Wisconsin,201503,30.7,85,28.3,2.4,19.2,71,18.3,0.9,42.3,99,38.3,4
Wyoming,201503,37.7,120,29.1,8.6,24,118,17.6,6.4,51.3,122,40.6,10.7
Alabama,201502,41.3,10,48,-6.7,30,9,36.4,-6.4,52.6,9,59.6,-7
Arizona,201502,52,125,44.7,7.3,37.8,124,31.8,6,66.1,124,57.6,8.5
Arkansas,201502,36.1,8,43.1,-7,26.1,11,32.4,-6.3,46.1,11,53.9,-7.8
California,201502,53.2,125,45.3,7.9,41.4,124,35.1,6.3,65,125,55.6,9.4
Colorado,201502,32.1,111,27.4,4.7,19.4,117,14.3,5.1,44.9,103,40.6,4.3
Connecticut,201502,15.8,2,26.3,-10.5,4.4,2,16.9,-12.5,27.3,3,35.7,-8.4
Delaware,201502,26.3,7,34.4,-8.1,16.5,6,25.1,-8.6,36,11,43.6,-7.6
Florida,201502,56.5,24,59.4,-2.9,45.3,30,47.9,-2.6,67.8,23,70.9,-3.1
Georgia,201502,43.2,12,48.6,-5.4,31.9,14,36.8,-4.9,54.6,11,60.4,-5.8
Idaho,201502,35.2,123,26.4,8.8,25.6,124,17.3,8.3,44.8,124,35.6,9.2
Illinois,201502,19.4,8,29.2,-9.8,9.8,8,20.3,-10.5,28.9,7,38.1,-9.2
Indiana,201502,19.3,5,29.4,-10.1,9.4,5,20.3,-10.9,29.1,6,38.5,-9.4
Iowa,201502,14.5,12,22.7,-8.2,4.7,13,13,-8.3,24.3,10,32.5,-8.2
Kansas,201502,31.2,44,33.6,-2.4,18.4,33,21.2,-2.8,44,52,46,-2
Kentucky,201502,26.3,4,36.5,-10.2,16,4,26.2,-10.2,36.7,6,46.8,-10.1
Louisiana,201502,47.5,14,52.4,-4.9,36.7,14,41.8,-5.1,58.4,19,63,-4.6
Maine,201502,5.2,2,14.9,-9.7,-5.8,5,3.8,-9.6,16.1,1,26.1,-10
Maryland,201502,25.3,6,33.8,-8.5,15.3,4,24.4,-9.1,35.4,9,43.2,-7.8
Massachusetts,201502,14.6,2,25,-10.4,3.1,2,15.4,-12.3,26,3,34.7,-8.7
Michigan,201502,8,3,19.1,-11.1,-2.6,3,10,-12.6,18.6,3,28.3,-9.7
Minnesota,201502,5.6,18,12.1,-6.5,-4.8,24,1.2,-6,16.1,13,22.9,-6.8
Mississippi,201502,41.9,11,48.3,-6.4,31,11,37.1,-6.1,52.8,10,59.6,-6.8
Missouri,201502,26.2,12,33.8,-7.6,15.7,11,23.2,-7.5,36.6,12,44.3,-7.7
Montana,201502,26.9,100,21.3,5.6,16.2,100,10.9,5.3,37.6,99,31.8,5.8
Nebraska,201502,26.1,57,26.7,-0.6,13.5,50,14.8,-1.3,38.8,69,38.6,0.2
Nevada,201502,42.8,125,34.1,8.7,30,122,23,7,55.7,124,45.3,10.4
New Hampshire,201502,8.1,2,18.5,-10.4,-4,2,7.3,-11.3,20.2,1,29.6,-9.4
New Jersey,201502,22.3,6,30.6,-8.3,12.3,3,21.4,-9.1,32.3,8,39.8,-7.5
New Mexico,201502,41.4,109,37.8,3.6,26.6,108,23.5,3.1,56.3,103,52,4.3
New York,201502,9.2,2,20.7,-11.5,-1.8,2,11.1,-12.9,20.2,1,30.4,-10.2
North Carolina,201502,34.9,8,41.9,-7,24.1,8,30.8,-6.7,45.6,6,53.1,-7.5
North Dakota,201502,8.4,44,11.9,-3.5,-2.8,40,1.8,-4.6,19.7,53,22,-2.3
Ohio,201502,17.3,2,29,-11.7,7.1,2,20,-12.9,27.4,3,38,-10.6
Oklahoma,201502,37.8,27,41.2,-3.4,25.3,22,29,-3.7,50.2,34,53.5,-3.3
Oregon,201502,41.7,125,34.1,7.6,32.5,123,26,6.5,50.9,124,42.2,8.7
